update,org,not,nand,and,orn,or,andn,nor,xor,equ,dead
0,10,0,0,0,0,0,0,0,0,0,0
10000,438,3,0,25,0,0,31,0,0,76,59
20000,2268,6,0,165,0,0,218,0,0,407,237
30000,4534,6,0,375,0,0,451,0,0,785,745
40000,6268,18,1,593,2,2,693,1,0,1058,1405
50000,6322,15,0,618,1,1,706,0,0,1016,2098
60000,6339,12,0,637,0,0,746,0,0,1055,2800
70000,6341,9,0,650,0,0,735,0,0,1027,3490
80000,6337,13,0,631,0,0,699,0,0,1041,4176
90000,6346,13,0,641,1,1,728,0,0,1061,4825
100000,6335,11,0,629,0,0,733,0,0,1042,5461
