update,org,not,nand,and,orn,or,andn,nor,xor,equ
0,10,0,0,0,0,0,0,0,0,0
4000,151,1,0,5,0,0,9,0,0,20
8000,417,1,0,29,0,0,42,0,0,52
12000,892,5,0,64,0,0,86,0,0,143
16000,1654,2,0,139,0,0,156,0,0,280
20000,2572,8,0,197,0,0,256,0,0,467
24000,3574,9,0,287,0,0,363,0,0,643
28000,4418,21,0,397,2,2,484,0,0,790
32000,5312,14,0,469,2,2,560,0,0,921
36000,5954,19,0,543,2,2,656,0,0,1022
40000,6348,15,0,615,0,0,764,0,0,1052
