update,org,not,nand,and,orn,or,andn,nor,xor,equ,dead,parasites,parasite_not,parasite_nand,parasite_and,parasite_orn,parasite_or,parasite_andn,parasite_nor,parasite_xor,parasite_equ
69,2496,7,0,33,0,0,71,22,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2497,7,0,33,0,0,73,22,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2498,7,0,33,0,0,72,23,0,0,1,0,0,0,0,0,0,0,0,0,0
72,2497,7,0,35,0,0,71,23,0,0,2,0,0,0,0,0,0,0,0,0,0
73,2499,6,0,35,0,0,70,24,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2499,6,0,36,0,0,70,25,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2499,6,0,36,0,0,74,26,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2499,6,0,35,0,0,76,26,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2500,6,0,35,0,0,75,26,0,0,1,0,0,0,0,0,0,0,0,0,0
78,2500,7,0,35,0,0,75,25,0,0,2,0,0,0,0,0,0,0,0,0,0
79,2500,6,0,37,0,0,77,26,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2500,7,0,38,0,0,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2500,7,0,39,0,0,74,27,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2499,7,0,38,0,0,75,27,0,0,1,0,0,0,0,0,0,0,0,0,0
83,2499,7,0,40,0,0,77,27,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2499,7,0,40,0,0,79,29,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2499,7,0,40,0,0,81,28,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2499,7,0,40,0,0,83,27,0,0,1,0,0,0,0,0,0,0,0,0,0
87,2499,7,0,37,0,0,87,26,0,0,1,0,0,0,0,0,0,0,0,0,0
88,2499,7,0,36,0,0,85,28,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2500,7,0,38,0,0,85,29,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2499,7,0,38,0,0,85,29,0,0,2,0,0,0,0,0,0,0,0,0,0
91,2500,7,0,37,0,0,89,30,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2497,7,0,37,0,0,93,30,0,0,3,0,0,0,0,0,0,0,0,0,0
93,2496,7,0,38,0,0,92,30,0,0,2,0,0,0,0,0,0,0,0,0,0
94,2497,8,0,38,0,0,94,30,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2497,8,0,38,0,0,96,30,0,0,1,0,0,0,0,0,0,0,0,0,0
96,2498,6,0,36,0,0,97,29,0,0,1,0,0,0,0,0,0,0,0,0,0
97,2499,5,0,35,0,0,98,30,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2499,5,0,36,0,0,99,29,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2498,4,0,36,0,0,102,27,0,0,1,0,0,0,0,0,0,0,0,0,0
100,2498,4,0,36,0,0,104,28,0,0,1,0,0,0,0,0,0,0,0,0,0
101,2455,3,0,35,0,0,105,29,0,0,57,0,0,0,0,0,0,0,0,0,0
102,2430,3,0,39,0,0,107,30,0,0,40,0,0,0,0,0,0,0,0,0,0
103,2431,3,0,38,0,0,107,31,0,0,10,0,0,0,0,0,0,0,0,0,0
104,2425,3,0,39,0,0,108,33,0,0,15,0,0,0,0,0,0,0,0,0,0
105,2426,3,0,39,0,0,109,34,0,0,11,0,0,0,0,0,0,0,0,0,0
106,2432,3,0,41,0,0,112,34,0,0,6,0,0,0,0,0,0,0,0,0,0
107,2432,3,0,44,0,0,115,34,0,0,8,0,0,0,0,0,0,0,0,0,0
108,2439,4,0,43,0,0,117,37,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2440,4,0,43,0,0,120,38,0,0,6,0,0,0,0,0,0,0,0,0,0
110,2442,4,0,44,0,0,124,39,0,0,2,0,0,0,0,0,0,0,0,0,0
111,2443,6,0,43,0,0,128,38,0,0,5,0,0,0,0,0,0,0,0,0,0
112,2439,7,0,44,0,0,128,37,0,0,8,0,0,0,0,0,0,0,0,0,0
113,2396,7,0,44,0,0,130,38,0,0,50,0,0,0,0,0,0,0,0,0,0
